CustomerID,total_purchases,total_items_bought,total_revenue
,3710,269562.0,1447682.120000069
14646,77,196719.0,279489.01999999984
18102,62,64122.0,256438.48999999996
17450,55,69029.0,187482.16999999998
14911,248,77180.0,132572.62000000005
12415,26,77242.0,123725.44999999998
14156,66,57025.0,113384.14000000007
17511,46,63012.0,88125.38
16684,31,49390.0,65892.08
13694,60,61803.0,62653.09999999999
15311,118,37720.0,59419.34000000001
13089,118,30787.0,57385.880000000005
14096,34,16335.0,57120.90999999987
15061,55,28590.0,54228.74000000001
17949,52,27571.0,52750.84
15769,29,27660.0,51823.72
16029,76,32148.0,50992.61
14298,45,58021.0,50862.43999999999
14088,14,12593.0,50415.49
17841,169,22865.0,40340.7799999999
13798,63,23514.0,36351.42
16422,75,32592.0,33805.68999999999
12931,20,23377.0,33462.810000000005
16013,54,13845.0,33366.25
15838,21,9007.0,33350.759999999995
17389,43,7430.0,31300.079999999998
17404,18,32324.0,30300.82
12748,224,24210.0,29072.09999999995
13098,41,15911.0,28658.880000000005
13081,21,19021.0,27964.479999999992
13408,81,16119.0,27487.41
14680,23,12474.0,26932.34
17857,25,19086.0,26763.339999999997
16333,22,32184.0,26626.800000000003
13777,41,12804.0,25748.35
15749,4,9014.0,21535.9
16210,18,7559.0,21086.300000000003
12753,11,11250.0,21024.010000000002
17381,30,25646.0,20272.43
17675,41,8278.0,20098.100000000002
15039,52,9191.0,19786.44000000001
12731,14,8366.0,18793.41
12471,49,7965.0,18740.92
15159,34,11394.0,18573.680000000004
12678,13,10899.0,17588.260000000002
17428,33,9435.0,17078.450000000004
13881,22,10062.0,16989.52
13767,52,7258.0,16945.710000000003
12921,50,9454.0,16389.739999999998
12901,36,20915.0,16293.099999999999
17677,43,9725.0,16219.219999999998
15856,31,10941.0,16173.669999999998
15189,53,6035.0,15802.14
14051,26,3741.0,15477.340000000002
16839,39,8470.0,15357.780000000002
14031,23,5370.0,14634.640000000001
15513,22,5545.0,14520.080000000004
16133,46,8738.0,14305.660000000005
14866,13,6569.0,14197.45
16705,29,5458.0,13946.130000000001
12681,27,7518.0,13677.59
12621,23,7404.0,13612.070000000003
12433,7,11071.0,13375.869999999999
12540,19,6677.0,13309.039999999999
12477,9,3620.0,13117.009999999998
17735,19,8439.0,13110.020000000004
14258,10,7098.0,12650.079999999998
15640,17,6572.0,12433.339999999998
13078,43,5557.0,12432.279999999997
15498,35,6084.0,12396.459999999997
16000,3,5110.0,12393.7
12682,31,5575.0,12288.219999999998
12557,5,4384.0,11990.960000000001
16525,29,6493.0,11895.57
17340,16,5902.0,11891.18
14606,128,5978.0,11713.849999999993
12939,8,4876.0,11581.799999999997
14607,17,7998.0,11341.100000000002
14194,32,5783.0,11216.75
15125,23,5991.0,11117.05
12409,7,5543.0,11056.93
14895,24,4823.0,11020.26
12971,89,9203.0,10930.260000000002
13340,7,5770.0,10736.480000000001
17581,31,5861.0,10736.110000000004
13319,36,4686.0,10664.34
14769,10,7406.0,10641.599999999999
17139,15,5163.0,10585.570000000003
13113,40,2594.0,10510.000000000002
14062,12,5593.0,10464.849999999999
16779,28,5236.0,10454.05
17107,7,4537.0,10380.430000000002
15615,27,5493.0,10360.04
15251,15,6084.0,10327.11
16180,10,5853.0,10217.480000000001
16843,17,10154.0,10183.82
17865,27,5698.0,10158.54
17706,22,3833.0,10097.369999999997
12590,3,4279.0,9861.380000000005
13199,39,6172.0,9803.96
13001,15,5497.0,9797.920000000002
15078,38,5069.0,9623.349999999999
13458,22,5460.0,9537.92
14733,15,3725.0,9451.539999999999
16523,28,4233.0,9295.67
12709,26,3832.0,9294.099999999999
14667,27,5382.0,9231.2
14367,19,4410.0,9167.820000000002
12744,10,5234.0,9120.39
12567,11,4089.0,9114.939999999997
18092,12,4250.0,9065.76
13969,20,4483.0,8986.689999999999
12451,6,6455.0,8933.519999999999
13488,17,4512.0,8910.609999999999
16033,27,3516.0,8727.610000000002
13090,18,2194.0,8689.390000000001
17243,30,3362.0,8628.55
17306,21,11470.0,8600.73
17017,27,6613.0,8574.11
16656,21,8873.0,8568.24
18139,8,5461.0,8393.219999999996
16558,24,5346.0,8257.039999999999
15358,29,6927.0,8234.8
12683,20,4903.0,8221.09
14056,29,4232.0,8124.400000000003
14936,9,4083.0,8117.420000000003
16672,23,2812.0,8093.590000000001
13854,29,2278.0,8025.02
18109,31,4219.0,7925.320000000001
14952,15,3295.0,7912.790000000001
14849,28,5656.0,7904.280000000001
12428,12,3503.0,7877.200000000001
14796,27,5942.0,7839.510000000004
12435,2,2055.0,7829.889999999999
15290,21,4431.0,7803.7699999999995
13629,11,4372.0,7792.360000000001
