StockCode,Description,total_sold,total_revenue,rank
DOT,DOTCOM POSTAGE,707.0,206245.47999999998,1
22423,REGENCY CAKESTAND 3 TIER,13033.0,164762.18999999992,2
47566,PARTY BUNTING,18022.0,98302.97999999994,3
85123A,WHITE HANGING HEART T-LIGHT HOLDER,35025.0,97715.99000000021,4
85099B,JUMBO BAG RED RETROSPOT,47363.0,92356.02999999981,5
23084,RABBIT NIGHT LIGHT,30680.0,66756.5899999999,6
POST,POSTAGE,3003.0,66230.64000000001,7
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,18902.0,63791.940000000046,8
84879,ASSORTED COLOUR BIRD ORNAMENT,36381.0,58959.7300000002,9
79321,CHILLI LIGHTS,10229.0,53768.06,10
